Count,ProcessID,Data(Bytes),Time (Seconds)
646,4377,4096,1.000087
647,26909,4096,1.000088
648,28295,4096,1.000088
649,28298,4096,1.000088
650,30663,4096,1.000088
651,30926,4096,1.000088
652,423,4096,1.000088
653,564,4096,1.000088
654,2631,4096,1.000088
655,2651,4096,1.000088
656,3355,4096,1.000088
657,4114,4096,1.000088
658,30988,4096,1.000088
659,8024,4096,1.000088
660,8338,4096,1.000088
661,28143,4096,1.000089
662,29723,4096,1.000089
663,31106,4096,1.000089
664,32064,4096,1.000089
665,2498,4096,1.000089
666,30735,4096,1.000089
667,31334,4096,1.000089
668,481,4096,1.000089
669,900,4096,1.000089
670,4512,4096,1.000089
671,5609,4096,1.000089
672,7693,4096,1.000089
673,7794,4096,1.000089
674,27124,4096,1.00009
675,27667,4096,1.00009
676,29866,4096,1.00009
677,31356,4096,1.00009
678,32159,4096,1.00009
679,31450,4096,1.00009
680,32360,4096,1.00009
681,1191,4096,1.00009
682,3913,4096,1.00009
683,5248,4096,1.00009
684,27456,4096,1.000091
685,28802,4096,1.000091
686,29950,4096,1.000091
687,30346,4096,1.000091
688,30893,4096,1.000091
689,32637,4096,1.000091
690,1790,4096,1.000091
691,3733,4096,1.000091
692,5135,4096,1.000091
693,27068,4096,1.000092
694,27764,4096,1.000092
695,32060,4096,1.000092
696,2344,4096,1.000092
697,4798,4096,1.000092
698,974,4096,1.000092
699,2384,4096,1.000092
700,3354,4096,1.000092
701,3837,4096,1.000092
702,28265,4096,1.000093
703,29172,4096,1.000093
704,29960,4096,1.000093
705,30342,4096,1.000093
706,30705,4096,1.000093
707,32404,4096,1.000093
708,2635,4096,1.000093
709,988,4096,1.000093
710,5571,4096,1.000093
711,8634,4096,1.000093
712,28198,4096,1.000094
713,28529,4096,1.000094
714,28538,4096,1.000094
715,28795,4096,1.000094
716,29064,4096,1.000094
717,29596,4096,1.000094
718,29665,4096,1.000094
719,31301,4096,1.000094
720,31842,4096,1.000094
721,31892,4096,1.000094
722,1128,4096,1.000094
